Odczyt z enkodera: [4.0, 85.0, 421.0] , Moc: 200.23 , FI akt: 421.0 , FI pop: 392.0 , FI poppop: 364.0 , różnica czasu: 0.08900000000000041
Odczyt z enkodera: [4.0, 85.0, 450.0] , Moc: 151.53 , FI akt: 450.0 , FI pop: 421.0 , FI poppop: 392.0 , różnica czasu: 0.11599999999999966
Odczyt z enkodera: [4.0, 85.0, 471.0] , Moc: 125.07 , FI akt: 471.0 , FI pop: 450.0 , FI poppop: 421.0 , różnica czasu: 0.0909999999999993
Odczyt z enkodera: [4.0, 85.0, 494.0] , Moc: 142.46 , FI akt: 494.0 , FI pop: 471.0 , FI poppop: 450.0 , różnica czasu: 0.10000000000000142
Odczyt z enkodera: [4.0, 85.0, 514.0] , Moc: 118.34 , FI akt: 514.0 , FI pop: 494.0 , FI poppop: 471.0 , różnica czasu: 0.0990000000000002
Odczyt z enkodera: [4.0, 85.0, 531.0] , Moc: 86.66 , FI akt: 531.0 , FI pop: 514.0 , FI poppop: 494.0 , różnica czasu: 0.11599999999999966
Odczyt z enkodera: [4.0, 85.0, 550.0] , Moc: 152.96 , FI akt: 550.0 , FI pop: 531.0 , FI poppop: 514.0 , różnica czasu: 0.0779999999999994
Odczyt z enkodera: [4.0, 85.0, 567.0] , Moc: 104.78 , FI akt: 567.0 , FI pop: 550.0 , FI poppop: 531.0 , różnica czasu: 0.09600000000000009
Odczyt z enkodera: [4.0, 85.0, 582.0] , Moc: 81.87 , FI akt: 582.0 , FI pop: 567.0 , FI poppop: 550.0 , różnica czasu: 0.10899999999999999
Odczyt z enkodera: [4.0, 85.0, 598.0] , Moc: 107.98 , FI akt: 598.0 , FI pop: 582.0 , FI poppop: 567.0 , różnica czasu: 0.0909999999999993
Odczyt z enkodera: [4.0, 85.0, 613.0] , Moc: 83.39 , FI akt: 613.0 , FI pop: 598.0 , FI poppop: 582.0 , różnica czasu: 0.10800000000000054
Odczyt z enkodera: [4.0, 85.0, 626.0] , Moc: 79.34 , FI akt: 626.0 , FI pop: 613.0 , FI poppop: 598.0 , różnica czasu: 0.09699999999999953
Odczyt z enkodera: [4.0, 85.0, 637.0] , Moc: 63.39 , FI akt: 637.0 , FI pop: 626.0 , FI poppop: 613.0 , różnica czasu: 0.10299999999999976
Odczyt z enkodera: [4.0, 85.0, 639.0] , Moc: 10.59 , FI akt: 639.0 , FI pop: 637.0 , FI poppop: 626.0 , różnica czasu: 0.10400000000000098
Odczyt z enkodera: [4.0, 85.0, 639.0] , Moc: 0.00 , FI akt: 639.0 , FI pop: 639.0 , FI poppop: 637.0 , różnica czasu: 0.08799999999999919
Odczyt z enkodera: [4.0, 85.0, 639.0] , Moc: 0.00 , FI akt: 639.0 , FI pop: 639.0 , FI poppop: 639.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 639.0] , Moc: 0.00 , FI akt: 639.0 , FI pop: 639.0 , FI poppop: 639.0 , różnica czasu: 0.11000000000000121
Odczyt z enkodera: [4.0, 85.0, 637.0] , Moc: -12.97 , FI akt: 637.0 , FI pop: 639.0 , FI poppop: 639.0 , różnica czasu: 0.0909999999999993
Odczyt z enkodera: [4.0, 85.0, 635.0] , Moc: -11.88 , FI akt: 635.0 , FI pop: 637.0 , FI poppop: 639.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 631.0] , Moc: -23.94 , FI akt: 631.0 , FI pop: 635.0 , FI poppop: 637.0 , różnica czasu: 0.0990000000000002
Odczyt z enkodera: [4.0, 85.0, 627.0] , Moc: -22.24 , FI akt: 627.0 , FI pop: 631.0 , FI poppop: 635.0 , różnica czasu: 0.10899999999999999
Odczyt z enkodera: [4.0, 85.0, 627.0] , Moc: 0.00 , FI akt: 627.0 , FI pop: 627.0 , FI poppop: 631.0 , różnica czasu: 0.09799999999999898
Odczyt z enkodera: [4.0, 85.0, 627.0] , Moc: 0.00 , FI akt: 627.0 , FI pop: 627.0 , FI poppop: 627.0 , różnica czasu: 0.09699999999999953
Odczyt z enkodera: [4.0, 85.0, 626.0] , Moc: -5.36 , FI akt: 626.0 , FI pop: 627.0 , FI poppop: 627.0 , różnica czasu: 0.1120000000000001
Odczyt z enkodera: [4.0, 85.0, 625.0] , Moc: -6.25 , FI akt: 625.0 , FI pop: 626.0 , FI poppop: 627.0 , różnica czasu: 0.09700000000000131
Odczyt z enkodera: [4.0, 85.0, 624.0] , Moc: -6.45 , FI akt: 624.0 , FI pop: 625.0 , FI poppop: 626.0 , różnica czasu: 0.09399999999999942
Odczyt z enkodera: [4.0, 85.0, 620.0] , Moc: -20.22 , FI akt: 620.0 , FI pop: 624.0 , FI poppop: 625.0 , różnica czasu: 0.11700000000000088
Odczyt z enkodera: [4.0, 85.0, 609.0] , Moc: -65.90 , FI akt: 609.0 , FI pop: 620.0 , FI poppop: 624.0 , różnica czasu: 0.09199999999999875
Odczyt z enkodera: [4.0, 85.0, 596.0] , Moc: -82.58 , FI akt: 596.0 , FI pop: 609.0 , FI poppop: 620.0 , różnica czasu: 0.09299999999999997
Odczyt z enkodera: [4.0, 85.0, 586.0] , Moc: -64.67 , FI akt: 586.0 , FI pop: 596.0 , FI poppop: 609.0 , różnica czasu: 0.09700000000000131
Odczyt z enkodera: [4.0, 85.0, 573.0] , Moc: -71.53 , FI akt: 573.0 , FI pop: 586.0 , FI poppop: 596.0 , różnica czasu: 0.10699999999999932
Odczyt z enkodera: [4.0, 85.0, 561.0] , Moc: -71.34 , FI akt: 561.0 , FI pop: 573.0 , FI poppop: 586.0 , różnica czasu: 0.10299999999999976
Odczyt z enkodera: [4.0, 85.0, 549.0] , Moc: -80.81 , FI akt: 549.0 , FI pop: 561.0 , FI poppop: 573.0 , różnica czasu: 0.08999999999999986
Odczyt z enkodera: [4.0, 85.0, 539.0] , Moc: -63.26 , FI akt: 539.0 , FI pop: 549.0 , FI poppop: 561.0 , różnica czasu: 0.09800000000000075
Odczyt z enkodera: [4.0, 85.0, 526.0] , Moc: -69.69 , FI akt: 526.0 , FI pop: 539.0 , FI poppop: 549.0 , różnica czasu: 0.10999999999999943
Odczyt z enkodera: [4.0, 85.0, 512.0] , Moc: -85.60 , FI akt: 512.0 , FI pop: 526.0 , FI poppop: 539.0 , różnica czasu: 0.09800000000000075
Odczyt z enkodera: [4.0, 85.0, 495.0] , Moc: -103.50 , FI akt: 495.0 , FI pop: 512.0 , FI poppop: 526.0 , różnica czasu: 0.09600000000000009
Odczyt z enkodera: [4.0, 85.0, 475.0] , Moc: -119.46 , FI akt: 475.0 , FI pop: 495.0 , FI poppop: 512.0 , różnica czasu: 0.09799999999999898
Odczyt z enkodera: [4.0, 85.0, 454.0] , Moc: -128.40 , FI akt: 454.0 , FI pop: 475.0 , FI poppop: 495.0 , różnica czasu: 0.09800000000000075
Odczyt z enkodera: [4.0, 85.0, 433.0] , Moc: -120.08 , FI akt: 433.0 , FI pop: 454.0 , FI poppop: 475.0 , różnica czasu: 0.10599999999999987
Odczyt z enkodera: [4.0, 85.0, 412.0] , Moc: -133.98 , FI akt: 412.0 , FI pop: 433.0 , FI poppop: 454.0 , różnica czasu: 0.09499999999999886
Odczyt z enkodera: [4.0, 85.0, 389.0] , Moc: -132.55 , FI akt: 389.0 , FI pop: 412.0 , FI poppop: 433.0 , różnica czasu: 0.10300000000000153
Odczyt z enkodera: [4.0, 85.0, 367.0] , Moc: -136.20 , FI akt: 367.0 , FI pop: 389.0 , FI poppop: 412.0 , różnica czasu: 0.09899999999999842
